,Year,Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,Gender Total %,Diversity Total %
58,2016,Uber,36.0,64.0,50.0,31.0,6.0,9.0,4.0,1.0,0.0,100.0,101.0
59,2015,Yahoo!,37.0,62.0,50.0,39.0,4.0,2.0,2.0,2.0,1.0,99.0,100.0
60,2015,Google,30.0,70.0,60.0,31.0,3.0,2.0,3.0,0.0,0.0,100.0,99.0
61,2015,Apple,31.0,69.0,54.0,18.0,11.0,8.0,2.0,1.0,6.0,100.0,100.0
63,2015,Cisco,23.0,77.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.0
64,2015,eBay,43.0,57.0,60.0,25.0,5.0,8.0,1.0,1.0,0.0,100.0,100.0
65,2015,HP,33.0,67.0,72.0,6.0,14.0,7.0,1.0,0.0,0.0,100.0,100.0
66,2015,Indiegogo,45.0,55.0,64.0,23.0,8.0,2.0,0.0,3.0,0.0,100.0,100.0
67,2015,Nvidia,16.0,84.0,38.0,44.0,3.0,1.0,14.0,0.0,0.0,100.0,100.0
68,2015,Dell,30.0,70.0,69.0,9.0,11.0,10.0,0.0,1.0,0.0,100.0,100.0
69,2015,Ingram Micro,42.0,58.0,63.0,11.0,16.0,10.0,0.0,0.0,0.0,100.0,100.0
70,2015,Intel,25.0,75.0,61.0,26.0,9.0,4.0,0.0,1.0,0.0,100.0,101.0
71,2015,Groupon,47.0,53.0,71.0,15.0,5.0,4.0,0.0,4.0,0.0,100.0,99.0
72,2015,Amazon,37.0,63.0,60.0,13.0,9.0,15.0,0.0,3.0,0.0,100.0,100.0
73,2015,Etsy ,51.0,49.0,79.0,11.0,4.0,3.0,3.0,0.0,0.0,100.0,100.0
74,2015,Microsoft,28.0,72.0,59.0,29.0,5.0,4.0,1.0,1.0,0.0,100.0,99.0
75,2015,Salesforce,29.0,71.0,67.0,22.0,4.0,2.0,2.0,3.0,0.0,100.0,100.0
76,2015,Pandora,49.0,51.0,71.0,12.0,7.0,3.0,6.0,1.0,0.0,100.0,100.0
77,2014,Yahoo!,37.0,62.0,50.0,39.0,4.0,2.0,2.0,2.0,0.0,99.0,99.0
78,2014,Google,30.0,70.0,61.0,30.0,3.0,2.0,4.0,0.0,0.0,100.0,100.0
79,2014,Apple,30.0,70.0,55.0,15.0,11.0,7.0,2.0,1.0,9.0,100.0,100.0
81,2014,Cisco,23.0,77.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.0
82,2014,eBay,42.0,58.0,61.0,24.0,5.0,7.0,1.0,1.0,0.0,100.0,99.0
83,2014,HP,33.0,67.0,72.0,6.0,14.0,7.0,1.0,0.0,0.0,100.0,100.0
84,2014,Indiegogo,45.0,55.0,64.0,23.0,8.0,2.0,0.0,3.0,0.0,100.0,100.0
85,2014,Nvidia,16.0,84.0,38.0,44.0,3.0,1.0,14.0,0.0,0.0,100.0,100.0
86,2014,Dell,30.0,70.0,69.0,9.0,11.0,10.0,0.0,1.0,0.0,100.0,100.0
87,2014,Ingram Micro,42.0,58.0,63.0,11.0,16.0,10.0,0.0,0.0,0.0,100.0,100.0
88,2014,Intel,25.0,75.0,61.0,26.0,9.0,4.0,0.0,1.0,0.0,100.0,101.0
89,2014,Groupon,47.0,53.0,71.0,15.0,5.0,4.0,0.0,4.0,0.0,100.0,99.0
90,2014,Amazon,37.0,63.0,60.0,13.0,9.0,15.0,0.0,3.0,0.0,100.0,100.0
91,2014,Salesforce,29.0,71.0,67.0,22.0,4.0,2.0,2.0,3.0,0.0,100.0,100.0
92,2014,Pandora,49.0,51.0,71.0,12.0,7.0,3.0,6.0,1.0,0.0,100.0,100.0
93,2014,Microsoft,29.0,71.0,61.0,29.0,5.0,4.0,1.0,1.0,0.0,100.0,101.0
